person_id,frame_number,pixel_x,pixel_y,world_x,world_y
3,10,298.113,766.598,-6.6433,6.9301
4,10,728.651,767.235,0.8978,8.3564
5,10,34.338,1025.704,-7.7428,18.161
6,10,606.128,699.462,-1.0362,2.8448
7,10,343.326,769.691,-5.7394,7.3073
8,10,512.62,670.733,-3.0706,-0.5752
9,10,712.695,716.985,0.9012,4.8103
10,10,160.877,819.736,-8.4445,9.9697
11,10,136.722,821.216,-8.8612,9.9952
12,10,165.046,730.661,-10.1422,3.4328
13,10,365.594,663.772,-6.6917,-2.4719
20,10,867.418,649.006,4.5199,-0.5838
1,11,145.751,1605.017,-4.0013,26.5531
2,11,466.537,790.989,-3.3821,9.0659
3,11,297.155,767.343,-6.6522,6.9802
4,11,727.804,767.732,0.882,8.3844
5,11,34.169,1025.954,-7.7424,18.168
6,11,606.084,700.052,-1.0376,2.8976
7,11,343.333,770.068,-5.7352,7.3336
8,11,512.413,671.256,-3.0726,-0.5186
9,11,712.342,717.24,0.8934,4.8288
10,11,160.934,820.891,-8.425,10.0375
11,11,136.625,821.516,-8.8578,10.0125
12,11,164.83,731.136,-10.1354,3.4754
13,11,365.095,664.618,-6.6898,-2.3702
20,11,867.316,649.456,4.5103,-0.5368
26,11,110.225,796.686,-9.8254,8.3848
1,12,143.954,1598.463,-4.0267,26.504
2,12,467.527,792.765,-3.3574,9.1754
3,12,296.346,768.465,-6.6532,7.0576
4,12,727.124,768.488,0.8675,8.4288
5,12,34.15,1026.546,-7.7366,18.1844
6,12,605.916,700.673,-1.0415,2.9524
7,12,343.273,770.183,-5.7351,7.3413
8,12,511.914,671.535,-3.0825,-0.4912
9,12,711.802,717.735,0.881,4.8653
10,12,160.755,821.481,-8.4188,10.0715
11,12,136.507,822.228,-8.8479,10.054
12,12,164.672,731.877,-10.1206,3.5425
13,12,364.686,665.193,-6.6902,-2.3018
20,12,867.388,649.86,4.5048,-0.4936
26,12,110.645,797.101,-9.8086,8.4138
27,12,64.792,853.384,-9.5902,11.6133
1,13,142.514,1591.489,-4.051,26.4509
2,13,468.255,793.905,-3.3401,9.2454
3,13,295.259,769.678,-6.6583,7.14
4,13,725.831,768.23,0.8485,8.4093
5,13,33.979,1027.22,-7.732,18.2031
6,13,605.734,701.25,-1.0456,3.003
7,13,343.476,769.366,-5.74,7.2851
8,13,511.05,671.871,-3.1003,-0.4599
9,13,711.085,718.093,0.8662,4.8904
10,13,160.921,822.001,-8.4075,10.1022
11,13,136.087,822.375,-8.8531,10.0615
12,13,164.659,732.798,-10.0981,3.6265
13,13,364.187,665.878,-6.6911,-2.2208
20,13,867.371,650.219,4.4983,-0.4559
26,13,110.689,797.879,-9.7918,8.4655
27,13,64.766,854.689,-9.5676,11.6812
1,14,141.139,1582.856,-4.0789,26.3841
2,14,469.065,793.971,-3.3262,9.2515
3,14,294.158,770.736,-6.6658,7.2111
4,14,725.154,768.278,0.8376,8.4103
5,14,33.821,1028.163,-7.7245,18.2292
6,14,605.567,701.875,-1.0494,3.0577
7,14,343.824,769.133,-5.7359,7.2701
8,14,509.569,672.235,-3.1319,-0.4297
9,14,711.16,718.387,0.8659,4.9136
10,14,161.063,822.693,-8.394,10.1427
11,14,135.204,822.267,-8.871,10.053
12,14,164.676,733.527,-10.0798,3.6928
13,14,363.845,666.51,-6.6889,-2.1456
20,14,867.231,650.93,4.4835,-0.382
26,14,110.426,798.217,-9.7901,8.4871
27,14,64.619,854.906,-9.5664,11.6921
1,15,139.898,1576.958,-4.1002,26.3381
2,15,469.81,796.511,-3.3027,9.4038
3,15,293.291,772.247,-6.6628,7.3145
4,15,724.158,767.88,0.8239,8.383
5,15,33.86,1029.001,-7.7157,18.2524
6,15,605.308,702.39,-1.0549,3.1021
7,15,343.936,768.942,-5.7358,7.2571
8,15,507.952,672.741,-3.1657,-0.3848
9,15,711.08,718.32,0.8649,4.9081
10,15,161.262,823.232,-8.3818,10.1743
11,15,134.755,822.516,-8.875,10.0665
12,15,164.734,734.859,-10.0458,3.8134
13,15,363.613,667.204,-6.6828,-2.0621
20,15,867.326,651.885,4.4693,-0.2815
26,15,110.016,798.744,-9.7874,8.5206
27,15,64.281,854.729,-9.5754,11.6823
1,16,138.836,1570.103,-4.1227,26.2838
2,16,470.647,799.449,-3.2763,9.5776
3,16,291.998,772.994,-6.6779,7.3623
4,16,723.218,768.288,0.8071,8.4053
5,16,34.194,1030.512,-7.6965,18.2942
6,16,605.202,702.846,-1.0573,3.142
7,16,343.809,769.161,-5.7359,7.272
8,16,506.018,673.16,-3.2072,-0.3518
9,16,711.109,718.272,0.8657,4.9044
10,16,161.257,823.842,-8.3723,10.2095
11,16,134.303,822.999,-8.875,10.0935
12,16,164.48,736.112,-10.0212,3.9244
13,16,363.301,667.701,-6.6821,-2.0036
20,16,867.172,652.496,4.456,-0.2189
26,16,109.416,799.005,-9.7939,8.536
27,16,64.579,856.588,-9.5375,11.779
1,17,137.779,1565.842,-4.1394,26.2499
2,17,471.131,801.345,-3.2604,9.6884
3,17,290.92,773.867,-6.6872,7.4196
4,17,722.493,768.395,0.7952,8.4098
5,17,34.388,1031.21,-7.6871,18.3135
6,17,605.193,703.615,-1.0582,3.2098
7,17,343.383,769.632,-5.7389,7.3034
8,17,504.216,673.397,-3.2467,-0.3378
9,17,711.261,718.707,0.8659,4.9389
10,17,161.191,824.238,-8.3673,10.2322
11,17,134.237,823.206,-8.8727,10.1055
12,17,164.446,737.064,-9.999,4.0092
13,17,362.855,668.56,-6.6787,-1.9023
20,17,867.056,653.049,4.4445,-0.1622
27,17,65.382,859.218,-9.4779,11.9153
1,18,136.912,1559.128,-4.1608,26.1956
2,18,471.792,803.801,-3.2394,9.8306
3,18,289.971,774.312,-6.6996,7.4473
4,18,721.491,767.916,0.7817,8.3775
5,18,34.52,1031.578,-7.6819,18.3236
6,18,605.169,704.194,-1.0591,3.2605
7,18,342.916,770.367,-5.7399,7.3529
8,18,502.466,674.268,-3.2812,-0.254
9,18,711.107,719.509,0.8587,5.0007
10,18,161.141,824.652,-8.3616,10.2559
11,18,134.38,823.44,-8.8661,10.1195
12,18,164.335,737.337,-9.995,4.0328
13,18,362.952,669.6,-6.6585,-1.7754
20,18,866.877,653.575,4.4324,-0.109
27,18,65.772,860.996,-9.4406,12.0062
26,18,112.272,800.393,-9.7099,8.6358
1,19,136.349,1552.128,-4.1812,26.1382
2,19,472.386,805.499,-3.2228,9.9284
3,19,289.031,775.552,-6.7014,7.5301
4,19,720.433,767.896,0.7651,8.3733
